date,open,high,low,close,volume,sma,rsi,sma_200,distance_from_sma_200,volatility_100,position_in_200_range
2023-09-20,27198,27382,26846,26938,12615959842.229397,26335.333333333332,54.579552897087446,27760.53,-0.02962947753519111,0.02011804594919938,0.5956190639171729
2023-09-21,26938,27234,26379,26607,13497179076.831764,26396.916666666668,50.61031850252145,27781.505,-0.04227650733824539,0.020158341975600697,0.5672969966629589
2023-09-22,26607,26731,26491,26539,8169328790.751264,26458.5,49.80891823281203,27802.445,-0.04544366511650323,0.020160193917151466,0.5614785659279541
2023-09-23,26539,26635,26496,26614,9968041758.936825,26592.5,50.73549534498371,27825.23,-0.04352991871046527,0.020084409454876898,0.5678959527680328
2023-09-24,26614,26718,26392,26455,6583511185.708387,26624.25,48.68358623732181,27847.04,-0.049988795936659725,0.019755851509040145,0.554291092667066
2023-09-25,26455,26520,26005,26336,7226298594.495522,26639.25,47.14673319730559,27878.12,-0.05531649910395676,0.019758259447832025,0.5441088388808077
2023-09-26,26335,26418,26091,26241,11974957450.276283,26602.166666666668,45.900977060531304,27909.44,-0.05978049004207891,0.01975075453149193,0.5127145296073322
2023-09-27,26241,26819,26098,26241,9786025048.05344,26588.083333333332,45.900977060531304,27937.97,-0.06074063362513458,0.01975056282935007,0.4880098187311178
2023-09-28,26241,27287,26208,27105,12889674588.31686,26635.0,57.69225361879419,27968.135,-0.030861371342779862,0.019387994103149068,0.37641909451511424
2023-09-29,27106,27226,26713,26921,16683207554.844349,26669.083333333332,54.94566508537158,27980.975,-0.03788198945890908,0.017817806607140496,0.34497997514155504
2023-09-30,26921,27089,26867,27031,9059145545.41355,26685.5,56.28552954043603,27990.455,-0.03427793510323436,0.01781908184386947,0.36017124706532244
2023-10-01,27031,27281,26959,27105,6295435107.555985,26677.75,57.207497202694185,28003.865,-0.032097890773291525,0.017667928140068772,0.31525983778912586
2023-10-02,27105,28565,27061,27969,9358226524.285364,26763.666666666668,66.17701516131832,28018.6,-0.001770252617903769,0.01795733837386133,0.4450285370982277
2023-10-03,27970,27971,27258,27268,18127133423.88185,26818.75,55.93323373401227,28020.51,-0.026855685353335768,0.01811073373289244,0.33974166416341245
2023-10-04,27269,27825,27194,27627,12676657038.293432,26909.416666666668,59.39938016672042,28021.52,-0.014079179145171298,0.018160405686227926,0.3936617602883749
2023-10-05,27627,28112,27374,27487,10876597601.123323,26982.166666666668,57.499957914886096,28017.28,-0.018926890833085828,0.018107721000918453,0.37263442475217784
2023-10-06,27487,28054,27195,27972,13376186563.311192,27108.583333333332,62.029779657546804,28017.815,-0.0016352095978932938,0.018111882561082603,0.44547912285971764
2023-10-07,27973,28226,27874,27884,13817979024.520027,27237.583333333332,60.76426945798788,28016.19,-0.004718343215119497,0.01803366311773167,0.43226194052267947
2023-10-08,27884,28106,27733,27907,7226218924.820883,27376.416666666668,60.9882912319614,28022.045,-0.004105517637988172,0.01802552034832089,0.435716431360769
2023-10-09,27907,27996,27297,27614,7141598446.869208,27490.833333333332,56.558049913056145,28017.965,-0.014418070691429594,0.018034687226223384,0.39170922198858515
2023-10-10,27614,27727,27298,27400,7640029989.224315,27515.416666666668,53.50119226833833,28015.72,-0.021977661113117962,0.018047581492893643,0.35956743766896965
2023-10-11,27400,27472,26541,26759,10151720983.669058,27501.916666666668,45.55832234661501,28013.43,-0.04477959321653936,0.01802200954208341,0.26329227996395316
2023-10-12,26759,26930,26554,26706,14608441295.942532,27474.833333333332,44.96391977771736,28007.665,-0.04647531309732535,0.017946246019457206,0.2553319315109642
2023-10-13,26706,26933,26678,26770,10867640258.925844,27446.916666666668,45.882130652848836,28006.675,-0.044156437706368186,0.01793353020096649,0.2649444277560829
2023-10-14,26771,27104,26744,26869,14344414895.617512,27355.25,47.34555370317661,28003.87,-0.04052547022965037,0.017937400560517826,0.2798137578852508
2023-10-15,26869,27078,26813,27043,5543160607.188677,27336.5,49.90935612120279,27997.05,-0.03407680452047624,0.017952495179501947,0.30594773205166714
2023-10-16,27043,29977,27021,28465,6604845643.42894,27406.333333333332,64.9356124197691,27999.46,0.016626749230163756,0.0187306103598748,0.5195253829978973
2023-10-17,28465,28635,28108,28521,22792799561.834,27492.5,65.37610962362325,27999.74,0.018616601439870456,0.018726034432146228,0.5279363172123761
2023-10-18,28521,28964,28168,28262,10403248077.491972,27516.666666666668,61.52634285288024,27999.07,0.009390669047221935,0.01863757857148211,0.48903574647041154
2023-10-19,28262,28893,28167,28765,13461030457.558895,27590.083333333332,65.74515560248673,28003.105,0.027207518594812984,0.018713461789904108,0.564583959146891
2023-10-20,28765,30188,28601,29578,11193923144.463654,27729.333333333332,71.23540727043886,28010.56,0.055958895502267667,0.018906034537151128,0.6866927005106639
2023-10-21,29578,30313,29484,30173,23561406297.715862,27942.583333333332,74.4614993141754,28020.45,0.0768206791825256,0.018447965156012613,0.7760588765395013
2023-10-22,30173,30214,29712,29855,7452489477.484937,28147.166666666668,69.94628845122793,28028.46,0.06516733348888953,0.017818406317733185,0.7282967858215681
2023-10-23,29855,31438,29735,31393,11330304246.065748,28533.333333333332,77.15996826853583,28045.27,0.11936879195671853,0.018533632877452345,0.9592970862120757
2023-10-24,31392,35145,31350,33811,35558857925.14893,29125.416666666668,83.7598205632027,28074.725,0.20432168080007915,0.020047858776065113,1.0
2023-10-25,33810,35124,33497,34774,46464714676.18555,29792.416666666668,85.55059964064395,28108.895,0.2371172897404896,0.020183464198509183,1.0
2023-10-26,34773,34842,33752,34066,23840463172.49865,30392.166666666668,78.68127224089983,28138.47,0.21065573217022812,0.020288834179794962,0.9275184275184275
