Date,Open,High,Low,Close,Volume
2024-02-26,"51,738","54,944","50,936","54,479",15455098216.48263
2024-02-27,"54,480","57,582","54,360","56,989",35407941475.56789
2024-02-28,"56,990","64,038","56,646","60,312",51983799587.1939
2024-02-29,"60,318","63,636","59,817","62,074",87218855804.01622
2024-03-01,"62,064","63,231","60,703","63,053",67692687247.36391
2024-03-02,"63,047","63,048","61,655","61,947",36699193361.155365
2024-03-03,"61,947","63,007","61,449","62,794",25198213831.25236
2024-03-04,"62,794","67,911","62,530","67,710",27108369390.44353
2024-03-05,"67,708","69,209","59,706","61,909",74551714626.1156
2024-03-06,"61,910","67,627","61,908","67,139",96403762012.66058
2024-03-07,"67,134","68,051","65,664","67,755",73151905042.04068
2024-03-08,"67,751","70,136","66,238","69,294",48853892626.0196
2024-03-09,"69,294","69,379","68,060","68,512",63346588227.32869
2024-03-10,"68,512","70,000","68,377","69,530",21359706190.81524
2024-03-11,"69,530","72,886","67,376","72,021",36660543917.16198
2024-03-12,"72,021","72,960","68,826","71,395",66653067165.93465
2024-03-13,"71,398","73,679","70,681","73,463",64599341551.27301
2024-03-14,"73,466","73,798","68,575","69,303",51906601043.53671
2024-03-15,"69,302","72,376","65,685","68,859",63073551321.74747
2024-03-16,"68,870","70,034","66,648","66,916",81204427005.22603
2024-03-17,"66,914","68,590","64,554","68,517",49265436012.59228
2024-03-18,"68,517","68,890","66,598","66,959",47190980586.56393
2024-03-19,"66,958","68,094","62,348","64,421",51101822566.75771
2024-03-20,"64,419","65,984","60,828","65,693",80179417876.47993
2024-03-21,"65,693","68,188","64,869","65,320",70836803714.91411
2024-03-22,"65,318","66,618","62,639","63,958",48393664548.05336
2024-03-23,"63,952","65,991","62,385","64,890",42436600223.53738
2024-03-24,"64,889","65,988","63,828","65,840",25489933245.68756
2024-03-25,"65,840","71,086","65,752","71,010",28098318940.431744
2024-03-26,"71,013","71,543","69,348","69,438",44820310272.64752
2024-03-27,"69,438","71,715","68,397","68,641",36257324508.56845
2024-03-28,"68,640","71,563","68,608","70,857",41441040887.822266
2024-03-29,"70,856","71,068","69,130","69,689",30455289338.47621
2024-03-30,"69,690","70,349","69,350","69,946",25785951735.48569
2024-03-31,"69,946","71,220","69,598","71,024",16408802301.837433
2024-04-01,"71,024","71,365","68,117","69,717",19723005998.21497
2024-04-02,"69,716","69,910","64,587","66,081",36040088988.53872
2024-04-03,"66,075","66,916","64,572","65,872",45161133992.09071
2024-04-04,"65,871","69,269","65,114","68,445",35559952961.797325
2024-04-05,"68,449","68,731","66,018","67,433",37516850709.63811
2024-04-06,"67,433","68,498","67,357","68,282",35132808695.80448
2024-04-07,"68,282","70,285","68,207","69,080",19119438138.850822
2024-04-08,"69,080","72,695","68,931","71,671",17935478429.01022
2024-04-09,"71,674","71,975","68,274","68,995",33111949671.02105
2024-04-10,"68,995","70,023","67,510","70,023",36488482038.859055
2024-04-11,"70,026","71,253","69,576","70,460",38378062633.13138
2024-04-12,"70,460","71,231","65,484","66,870",30118549149.51049
2024-04-13,"66,868","67,929","64,095","64,828",43471949726.09197
2024-04-14,"64,838","65,568","60,908","64,200",49214481480.20075
2024-04-15,"64,200","66,870","62,375","63,370",40292911692.95434
2024-04-16,"63,371","63,876","61,727","62,755",42796604938.03423
2024-04-17,"62,754","64,466","59,744","60,999",42157169474.39519
2024-04-18,"60,998","64,148","60,800","63,546",41123362075.93534
2024-04-19,"63,548","65,476","59,665","64,315",35901618166.42319
2024-04-20,"64,316","65,418","63,046","64,891",52227787323.81757
2024-04-21,"64,891","65,711","64,277","64,554",16601830590.687475
2024-04-22,"64,554","66,847","64,397","66,602",19592118541.18973
2024-04-23,"66,599","67,228","65,865","66,468",27748586313.20611
2024-04-24,"66,470","67,058","63,777","63,959",23232230785.20184
2024-04-25,"63,958","64,870","62,806","64,678",30939903322.02589
2024-04-26,"64,680","65,254","63,320","63,839",24705345525.57077
2024-04-27,"63,836","64,068","62,461","63,314",23302057197.88468
2024-04-28,"63,314","64,305","63,121","63,736",19190483386.06388
2024-04-29,"63,736","63,736","61,814","62,955",16180294651.046637
2024-04-30,"62,955","64,684","59,109","59,166",27242983698.21234
2024-05-01,"59,164","60,952","56,553","56,979",39533113322.04938
2024-05-02,"56,975","59,564","56,713","59,336",51109380171.69261
2024-05-03,"59,338","62,153","58,719","62,096",28255509745.49032
2024-05-04,"62,095","64,505","62,013","63,939",33591665812.21244
2024-05-05,"63,939","64,591","62,954","63,883",20510614461.479218
2024-05-06,"63,884","65,471","62,739","63,193",18115695040.201984
2024-05-07,"63,193","64,380","62,820","63,040",17917770174.27797
2024-05-08,"63,040","63,173","61,790","62,162",19925137720.849453
2024-05-09,"62,162","62,642","60,655","62,456",20303831135.373127
2024-05-10,"62,456","63,453","60,233","60,626",25837724247.550423
2024-05-11,"60,627","61,443","60,457","61,121",23987518755.480534
2024-05-12,"61,121","61,818","60,626","61,386",12120618802.065384
2024-05-13,"61,386","63,419","60,758","63,126",13045696108.912676
2024-05-14,"63,127","63,169","61,118","61,553",27740460083.60181
2024-05-15,"61,553","66,450","61,334","66,088",21581895152.31416
2024-05-16,"66,088","66,666","64,620","65,169",38101793065.15294
2024-05-17,"65,168","67,459","65,068","67,046",29114585833.34968
2024-05-18,"67,049","67,380","66,656","66,937",25397793918.99353
2024-05-19,"66,937","67,674","65,927","66,044",13025487675.845127
2024-05-20,"66,044","70,058","66,009","70,058",9072734600.009218
2024-05-21,"70,058","71,935","68,958","69,278",35923476641.4359
2024-05-22,"69,278","70,605","69,220","69,584",41105056578.01701
2024-05-23,"69,584","70,010","66,736","67,075",31059440495.91766
2024-05-24,"67,076","69,242","66,439","69,202",39235702119.25446
2024-05-25,"69,198","69,568","68,511","69,153",28127411967.182774
2024-05-26,"69,153","69,459","68,661","68,861",15929396750.116022
2024-05-27,"68,861","70,581","68,231","69,216",11243743771.147911
2024-05-28,"69,217","69,778","67,235","68,369",18983806932.464344
2024-05-29,"68,368","68,837","67,110","67,186",31278122196.185
2024-05-30,"67,188","69,515","67,112","68,635",24320692137.62038
2024-05-31,"68,635","68,990","66,628","67,555",25344376897.716885
2024-06-01,"67,555","67,805","67,171","67,705",19685305476.45948
2024-06-02,"67,705","68,401","67,309","67,718",10724053324.55672
2024-06-03,"67,718","70,250","67,556","69,150",16137350587.750422
2024-06-04,"69,153","71,072","68,557","70,484",29862293749.910686
2024-06-05,"70,481","71,765","70,183","71,314",31561053725.144592
2024-06-06,"71,312","71,624","70,450","70,452",32560403314.989147
2024-06-07,"70,452","71,927","68,535","69,298",23612879689.560955
2024-06-08,"69,297","69,534","68,967","69,455",18597495569.911568
2024-06-09,"69,455","69,839","69,156","69,714",10688301508.476225
2024-06-10,"69,714","70,154","69,202","69,510",10461044041.080194
2024-06-11,"69,509","69,666","66,178","67,376",19335866773.67523
2024-06-12,"67,377","69,986","66,909","67,577",38513044382.60802
2024-06-13,"67,574","68,595","66,254","66,582",36027809551.45211
2024-06-14,"66,581","67,308","65,035","65,453",29654777884.381138
2024-06-15,"65,454","66,559","65,454","66,119",27966992832.74964
2024-06-16,"66,119","66,729","65,846","66,505",13472726244.723091
2024-06-17,"66,505","67,251","65,071","66,622",12650130203.722813
2024-06-18,"66,622","66,703","64,052","64,374",29409728999.276093
2024-06-19,"64,374","65,694","64,187","64,860",41386972050.31837
2024-06-20,"64,860","66,450","64,529","64,973",21680698980.889107
2024-06-21,"64,974","65,141","63,367","64,173",26001551474.84426
2024-06-22,"64,174","64,485","63,818","64,273",24694310198.90943
2024-06-23,"64,273","64,491","63,895","64,099",6340606686.24879
2024-06-24,"64,099","64,108","59,074","59,191",10748270931.518738
2024-06-25,"59,196","62,330","58,580","61,999",42036553106.89028
2024-06-26,"61,998","62,451","60,690","60,949",21105562261.648533
2024-06-27,"60,947","62,320","60,575","61,343",22908540918.971207
2024-06-28,"61,345","62,139","59,956","59,956",18855138893.067604
2024-06-29,"59,956","61,113","59,947","60,955",24399416695.150173
2024-06-30,"60,955","61,991","60,623","61,931",11435110883.886797
2024-07-01,"61,931","63,789","61,771","63,236",17373592048.120487
2024-07-02,"63,235","63,343","61,743","61,804",25573074910.68969
2024-07-03,"61,804","62,191","59,614","59,614",18100530101.689423
2024-07-04,"59,613","60,406","56,757","58,253",30348692427.02443
2024-07-05,"58,254","58,723","53,701","56,458",43112005394.93119
2024-07-06,"56,458","58,077","56,037","57,864",60081357583.2773
2024-07-07,"57,865","58,464","56,599","57,136",21293913670.91997
2024-07-08,"57,136","58,145","54,317","56,494",20211914621.326435
2024-07-09,"56,492","58,234","56,203","57,863",41614266908.30467
2024-07-10,"57,863","59,409","57,368","57,403",28413854577.26276
2024-07-11,"57,401","59,354","57,100","57,386",25987656347.278587
2024-07-12,"57,386","58,529","56,563","57,606",29196653598.752663
2024-07-13,"57,608","58,968","57,173","58,647",25504482306.19897
2024-07-14,"58,647","60,391","58,316","59,938",16765547593.243273
2024-07-15,"59,938","63,868","59,912","63,453",21295520563.65442
2024-07-16,"63,452","65,211","62,457","65,196",37810068492.86247
2024-07-17,"65,195","66,105","63,891","64,571",40914441633.09575
2024-07-18,"64,571","65,097","63,241","63,518",33459451713.593426
2024-07-19,"63,518","67,443","63,313","67,235",25976148878.63216
2024-07-20,"67,232","67,614","66,303","67,261",36994610752.230415
2024-07-21,"67,261","67,713","65,851","67,450",17353396168.041622
2024-07-22,"67,450","68,473","66,612","68,248",27078771827.95196
